Title,Recommended_Title,Type,Genres,Similarity_Score
Bobby Kennedy for President,Mission Control: The Unsung Heroes of Apollo,Movie,Documentaries,0.117
Bobby Kennedy for President,Cold Case Files,TV Show,"Crime TV Shows, Docuseries",0.101
Bobby Kennedy for President,The 2000s,TV Show,Docuseries,0.099
Bobby Kennedy for President,World War II in Colour,TV Show,"British TV Shows, Docuseries, International TV Shows",0.099
3 Seconds Divorce,The Long Goodbye: The Kara Tippetts Story,Movie,"Documentaries, Faith & Spirituality",0.12
3 Seconds Divorce,Growing Up Coy,Movie,"Documentaries, LGBTQ Movies",0.117
3 Seconds Divorce,Classic Legends,TV Show,"Docuseries, International TV Shows",0.113
3 Seconds Divorce,Ladies First,Movie,"Documentaries, International Movies, Sports Movies",0.112
3 Seconds Divorce,Footprints: The Path of Your Life,Movie,"Documentaries, Faith & Spirituality, International Movies",0.11
Bobby Robson: More Than a Manager,The Boy,Movie,"Horror Movies, Independent Movies, Thrillers",0.115
Bobby Robson: More Than a Manager,Roll With Me,Movie,"Documentaries, Sports Movies",0.109
Bobby Robson: More Than a Manager,Concrete Football,Movie,"Documentaries, International Movies, Sports Movies",0.103
Bobby Robson: More Than a Manager,Queer Eye: We're in Japan!,TV Show,"International TV Shows, Reality TV",0.089
Bobby Robson: More Than a Manager,Aliens Ate My Homework,Movie,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",0.088
Bobby Sands: 66 Days,Dare to Be Wild,Movie,"Dramas, Independent Movies, Romantic Movies",0.119
Bobby Sands: 66 Days,Conor McGregor: Notorious,Movie,"Documentaries, Sports Movies",0.094
Bobby Sands: 66 Days,Alexandria: Again and Forever,Movie,"Classic Movies, Dramas, International Movies",0.094
Bobby Sands: 66 Days,I Am Bolt,Movie,"Documentaries, Sports Movies",0.091
Bobby Sands: 66 Days,The Minimalists: Less Is Now,Movie,Documentaries,0.087
Boca Juniors Confidential,Sunderland 'Til I Die,TV Show,"British TV Shows, Docuseries, International TV Shows",0.208
Boca Juniors Confidential,"Rica, Famosa, Latina",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",0.188
Boca Juniors Confidential,Puerta 7,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.184
Boca Juniors Confidential,Especial 20 años Fútbol de Primera,TV Show,"Docuseries, International TV Shows, Spanish-Language TV Shows",0.182
Boca Juniors Confidential,Nuestra Lucha Libre,TV Show,"Docuseries, International TV Shows, Spanish-Language TV Shows",0.177
Bodyguard,Once Upon a Time in Mumbai Dobaara!,Movie,"Dramas, International Movies, Music & Musicals",0.145
Bodyguard,Andaz Apna Apna,Movie,"Action & Adventure, Comedies, Cult Movies",0.143
Bodyguard,Ready,Movie,"Comedies, International Movies, Romantic Movies",0.136
Bodyguard,Ek Main Aur Ekk Tu,Movie,"Comedies, International Movies, Romantic Movies",0.122
Bodyguard,Mahabharat,Movie,"Action & Adventure, Dramas, International Movies",0.118
Bogda,Rakkhosh,Movie,"Horror Movies, Independent Movies, International Movies",0.122
Bogda,Jaoon Kahan Bata Ae Dil,Movie,"Dramas, Independent Movies, International Movies",0.101
Bogda,"Twisted Trunk, Big Fat Body",Movie,"Dramas, International Movies",0.09
Bogda,Mujrim,Movie,"Action & Adventure, Dramas, International Movies",0.078
Bogda,Semana Santa,Movie,"Dramas, International Movies",0.078
Boi,Elisa & Marcela,Movie,"Dramas, International Movies, LGBTQ Movies",0.085
Boi,Couples Counseling,Movie,"Comedies, Dramas, International Movies",0.082
Boi,Brotherhood,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.074
Boi,Crazy Ex-Girlfriend,TV Show,"Romantic TV Shows, TV Comedies",0.072
Boi,Mystic Whispers,TV Show,"International TV Shows, TV Dramas, TV Horror",0.069
BoJack Horseman,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Movie,Movies,0.188
BoJack Horseman,Aussie Gold Hunters,TV Show,"Docuseries, International TV Shows, Reality TV",0.13
BoJack Horseman,Meet the Trumps: From Immigrant to President,Movie,Documentaries,0.125
BoJack Horseman,The Drunk and on Drugs Happy Funtime Hour,TV Show,"International TV Shows, TV Comedies",0.113
BoJack Horseman,Friends,TV Show,"Classic & Cult TV, TV Comedies",0.107
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Adam Ruins Everything,TV Show,TV Comedies,0.191
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,BoJack Horseman,TV Show,TV Comedies,0.188
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,The Little Hours,Movie,"Comedies, Independent Movies",0.122
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Sleeping with Other People,Movie,"Comedies, Dramas, Independent Movies",0.115
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Power Rangers Super Samurai: Stuck on Christmas,Movie,"Children & Family Movies, Sci-Fi & Fantasy",0.106
Bokeh,Case,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.158
Bokeh,TAU,Movie,"Sci-Fi & Fantasy, Thrillers",0.137
Bokeh,Adrift,Movie,"Action & Adventure, Dramas, Romantic Movies",0.108
Bokeh,The Valhalla Murders,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.102
Bokeh,Out of Thin Air,Movie,"Documentaries, International Movies",0.101
Bolívar,"Lady, la vendedora de rosas",TV Show,"International TV Shows, Spanish-Language TV Shows, TV Dramas",0.172
Bolívar,The Queen of Flow,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.165
Bolívar,Playing with Fire,TV Show,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",0.152
Bolívar,The Good Bandit,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.146
Bolívar,Crime Diaries: Night Out,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",0.144
3 Türken & ein Baby,Offline - Das leben ist kein bonuslevel,Movie,"Action & Adventure, Comedies, International Movies",0.117
3 Türken & ein Baby,Fifty Year Old Teenager,Movie,"Comedies, International Movies",0.087
3 Türken & ein Baby,Yellowbird,Movie,"Children & Family Movies, Comedies",0.078
3 Türken & ein Baby,No Tomorrow,TV Show,"Romantic TV Shows, TV Comedies, TV Dramas",0.075
3 Türken & ein Baby,5 Star Christmas,Movie,"Comedies, International Movies",0.072
Bollywood Calling,3 Deewarein,Movie,"Dramas, International Movies, Thrillers",0.185
Bollywood Calling,Har Kisse Ke Hisse: Kaamyaab,Movie,"Dramas, International Movies",0.166
Bollywood Calling,Aashayein,Movie,"Dramas, International Movies",0.151
Bollywood Calling,Khushi,Movie,"Comedies, International Movies, Music & Musicals",0.13
Bollywood Calling,Mumbai Matinee,Movie,"Comedies, International Movies, Romantic Movies",0.124
Bolt,The Pirate Fairy,Movie,Children & Family Movies,0.11
Bolt,Brain on Fire,Movie,"Dramas, Independent Movies, International Movies",0.109
Bolt,Sym-Bionic Titan,TV Show,Kids' TV,0.108
Bolt,Pup Star,Movie,"Children & Family Movies, Comedies",0.101
Bolt,A Fairly Odd Summer,Movie,"Children & Family Movies, Comedies",0.099
Bomb Scared,Errementari: The Blacksmith and the Devil,Movie,"Horror Movies, International Movies, Sci-Fi & Fantasy",0.138
Bomb Scared,Off Course,Movie,"Comedies, International Movies",0.133
Bomb Scared,Something Huge,Movie,"Comedies, Independent Movies, International Movies",0.132
Bomb Scared,El fin de ETA,Movie,"Documentaries, International Movies",0.12
Bomb Scared,Superlopez,Movie,"Action & Adventure, Comedies, International Movies",0.118
Bombairiya,Umrika,Movie,"Dramas, Independent Movies, International Movies",0.132
Bombairiya,Yeh Hai Bakrapur,Movie,"Comedies, Dramas, Independent Movies",0.125
Bombairiya,Shor In the City,Movie,"Comedies, Dramas, Independent Movies",0.123
Bombairiya,Issaq,Movie,"Dramas, International Movies, Music & Musicals",0.117
Bombairiya,Pad Man,Movie,"Dramas, International Movies, Romantic Movies",0.107
Bombay Talkies,Ghost Stories,Movie,"Horror Movies, International Movies, Thrillers",0.321
Bombay Talkies,Lust Stories,Movie,"Comedies, Dramas, International Movies",0.231
Bombay Talkies,Kabhi Alvida Naa Kehna,Movie,"Dramas, International Movies, Romantic Movies",0.199
Bombay Talkies,Kabhi Khushi Kabhie Gham,Movie,"Dramas, International Movies",0.193
Bombay Talkies,Kuch Kuch Hota Hai,Movie,"Comedies, Dramas, International Movies",0.159
Bombshell,The Monster of Mangatiti,Movie,Dramas,0.149
Bombshell,Dark Tourist,TV Show,"Docuseries, International TV Shows",0.123
Bombshell,The Stolen,Movie,Dramas,0.109
Bombshell,District 9,Movie,"Action & Adventure, International Movies, Sci-Fi & Fantasy",0.107
Bombshell,The Ballad of Buster Scruggs,Movie,"Comedies, Dramas",0.103
Bombshell: The Hedy Lamarr Story,Susanne Bartsch: On Top,Movie,"Documentaries, LGBTQ Movies",0.106
Bombshell: The Hedy Lamarr Story,Turbo FAST,TV Show,Kids' TV,0.102
Bombshell: The Hedy Lamarr Story,Kulipari: Dream Walker,TV Show,Kids' TV,0.082
Bombshell: The Hedy Lamarr Story,Captain Underpants Epic Choice-o-Rama,Movie,"Children & Family Movies, Comedies",0.079
Bombshell: The Hedy Lamarr Story,Kulipari: An Army of Frogs,TV Show,Kids' TV,0.077
Bon Bini Holland,Jandino: Whatever it Takes,Movie,Stand-Up Comedy,0.205
Bon Bini Holland,Men in Black,Movie,"Action & Adventure, Comedies, Sci-Fi & Fantasy",0.064
Bon Bini Holland,Thi Mai,Movie,"Comedies, Dramas, International Movies",0.063
Bon Bini Holland,De Film van Dylan Haegens,Movie,"Comedies, International Movies",0.062
Bon Bini Holland,Ares,TV Show,"International TV Shows, TV Dramas, TV Horror",0.061
Bon Cop Bad Cop 2,"Bon Cop, Bad Cop",Movie,"Action & Adventure, Comedies, International Movies",0.233
Bon Cop Bad Cop 2,The Decline,Movie,"Action & Adventure, International Movies",0.085
Bon Cop Bad Cop 2,Struggle: The Life and Lost Art of Szukalski,Movie,Documentaries,0.084
Bon Cop Bad Cop 2,Sensitive Skin,TV Show,TV Comedies,0.08
Bon Cop Bad Cop 2,Acts of Violence,Movie,Action & Adventure,0.078
"Bon Cop, Bad Cop",Bon Cop Bad Cop 2,Movie,"Action & Adventure, Comedies, International Movies",0.233
"Bon Cop, Bad Cop",Undercover Grandpa,Movie,"Action & Adventure, Children & Family Movies, Comedies",0.138
"Bon Cop, Bad Cop",My Scientology Movie,Movie,Documentaries,0.131
"Bon Cop, Bad Cop",21 Thunder,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.113
"Bon Cop, Bad Cop",Weapon of Choice,Movie,"Documentaries, International Movies",0.091
30 Days of Luxury,"It's Okay, Buddy",Movie,"Comedies, International Movies, Music & Musicals",0.335
30 Days of Luxury,The Bulbul's Nest,Movie,"Comedies, International Movies",0.246
30 Days of Luxury,Ms. Mammy,Movie,"Comedies, International Movies",0.182
30 Days of Luxury,Valentino,TV Show,"International TV Shows, TV Comedies, TV Dramas",0.149
30 Days of Luxury,An Upper Egyptian,Movie,"Comedies, Dramas, International Movies",0.143
Bondi Rescue,"Rica, Famosa, Latina",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",0.149
Bondi Rescue,Border Patrol,TV Show,Reality TV,0.13
Bondi Rescue,MegaTruckers,TV Show,Reality TV,0.117
Bondi Rescue,The Final Table,TV Show,Reality TV,0.114
Bondi Rescue,Fishtail,Movie,Documentaries,0.102
BONDING,Paranormal Activity,Movie,"Horror Movies, Thrillers",0.112
BONDING,The Good Place,TV Show,TV Comedies,0.107
BONDING,Dare Me,TV Show,"Crime TV Shows, TV Dramas, TV Thrillers",0.099
BONDING,Let It Snow,Movie,"Comedies, Dramas, LGBTQ Movies",0.096
BONDING,Strong,TV Show,Reality TV,0.094
Bonnie and Clyde,"We, the Marines",Movie,"Documentaries, International Movies",0.138
Bonnie and Clyde,A Bridge Too Far,Movie,"Action & Adventure, Classic Movies, Dramas",0.108
Bonnie and Clyde,Heartbreakers,Movie,"Comedies, Romantic Movies",0.107
Bonnie and Clyde,Wyatt Earp,Movie,Action & Adventure,0.097
Bonnie and Clyde,Willy Wonka & the Chocolate Factory,Movie,"Children & Family Movies, Classic Movies, Comedies",0.094
Bonus Family,Glow Up,TV Show,"British TV Shows, International TV Shows, Reality TV",0.095
Bonus Family,The Most Beautiful Hands of Delhi,TV Show,"International TV Shows, TV Comedies, TV Dramas",0.095
Bonus Family,Filmworker,Movie,Documentaries,0.092
Bonus Family,After Maria,Movie,Documentaries,0.079
Bonus Family,Fallet,TV Show,"Crime TV Shows, International TV Shows, TV Comedies",0.077
Booba,Larva,TV Show,"Kids' TV, Korean TV Shows, TV Comedies",0.152
Booba,Qurious Como,TV Show,Kids' TV,0.136
Booba,Stunt Science,TV Show,"British TV Shows, International TV Shows, Reality TV",0.126
Booba,Man Like Mobeen,TV Show,"British TV Shows, TV Comedies",0.115
Booba,Mini Wolf,TV Show,Kids' TV,0.114
Bookmarks,Norm Macdonald Has a Show,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",0.149
Bookmarks,Inst@famous,TV Show,Reality TV,0.11
Bookmarks,Crip Camp: A Disability Revolution,Movie,Documentaries,0.098
Bookmarks,Goosebumps,TV Show,"Kids' TV, TV Thrillers",0.095
Bookmarks,The Epic Tales of Captain Underpants,TV Show,"Kids' TV, TV Comedies",0.089
Boom,Anthony Kaun Hai?,Movie,"Comedies, Dramas, International Movies",0.149
Boom,Friendship,Movie,"Action & Adventure, Dramas, International Movies",0.141
Boom,The Great Gambler,Movie,"Action & Adventure, Classic Movies, Cult Movies",0.126
Boom,3 Idiots,Movie,"Comedies, Dramas, International Movies",0.126
Boom,Mahabharat,Movie,"Action & Adventure, Dramas, International Movies",0.126
Border Patrol,"Rica, Famosa, Latina",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",0.301
Border Patrol,Border Security: America's Front Line,TV Show,"Crime TV Shows, International TV Shows, Reality TV",0.25
Border Patrol,Country Ever After,TV Show,Reality TV,0.2
Border Patrol,Palazuelos mi rey,TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",0.198
Border Patrol,Battlefish,TV Show,"Reality TV, Science & Nature TV, TV Action & Adventure",0.184
Border Security: America's Front Line,"Rica, Famosa, Latina",TV Show,"International TV Shows, Reality TV, Spanish-Language TV Shows",0.269
Border Security: America's Front Line,Border Patrol,TV Show,Reality TV,0.25
Border Security: America's Front Line,Churchill’s Secret Agents: The New Recruits,TV Show,"British TV Shows, International TV Shows, Reality TV",0.21
Border Security: America's Front Line,Women Behind Bars,TV Show,"Crime TV Shows, Docuseries",0.195
Border Security: America's Front Line,Diva Brides,TV Show,"British TV Shows, Reality TV",0.191
Borderline,Border Security: America's Front Line,TV Show,"Crime TV Shows, International TV Shows, Reality TV",0.152
Borderline,India: Nature's Wonderland,TV Show,"British TV Shows, Docuseries, Science & Nature TV",0.133
Borderline,Lunatics,TV Show,"International TV Shows, TV Comedies",0.13
Borderline,Africa,TV Show,"British TV Shows, Docuseries, International TV Shows",0.12
Borderline,Nature's Great Events: Diaries,TV Show,"British TV Shows, Docuseries, Science & Nature TV",0.11
30 Minutes or Less,Aziz Ansari Live at Madison Square Garden,Movie,Stand-Up Comedy,0.186
30 Minutes or Less,Zombieland,Movie,"Comedies, Horror Movies",0.15
30 Minutes or Less,Aziz Ansari: Buried Alive,Movie,Stand-Up Comedy,0.14
30 Minutes or Less,Aziz Ansari: RIGHT NOW,Movie,Stand-Up Comedy,0.126
30 Minutes or Less,Master of None,TV Show,TV Comedies,0.118
Borderliner,Ellen DeGeneres: Relatable,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",0.09
Borderliner,Home for Christmas,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",0.089
Borderliner,Bloodride,TV Show,"International TV Shows, TV Horror, TV Mysteries",0.087
Borderliner,Fallet,TV Show,"Crime TV Shows, International TV Shows, TV Comedies",0.087
Borderliner,The King: Eternal Monarch,TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows",0.086
Bordertown,Bayonet,Movie,"Dramas, International Movies, Sports Movies",0.161
Bordertown,Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),TV Show,"Crime TV Shows, Docuseries, International TV Shows",0.12
Bordertown,The Liar,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.11
Bordertown,The Confession Tapes,TV Show,"Crime TV Shows, Docuseries",0.106
Bordertown,Fatal Destiny,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",0.103
Borgen,Warrior,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.161
Borgen,Kraftidioten,Movie,"Comedies, International Movies, Thrillers",0.135
Borgen,Rita,TV Show,"International TV Shows, TV Comedies, TV Dramas",0.135
Borgen,The Day Will Come,TV Show,"International TV Shows, TV Dramas",0.108
Borgen,Summer of '92,Movie,"Dramas, International Movies, Sports Movies",0.091
Borges,The First Temptation of Christ,Movie,"Comedies, International Movies",0.257
Borges,The Last Hangover,Movie,"Comedies, International Movies",0.243
Borges,The Mechanism,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",0.114
Borges,Lugar de Mulher,TV Show,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",0.102
Borges,Elena,Movie,"Documentaries, International Movies",0.1
